GID_2,id,province,district,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
KHM.21.13_2,101,Siemréab,Varin,934,960,982,1586,959,1013,1022,1026,1045,1198,1219,1296,1349,1428,1505,1704,1811,1955,2015,2035,2089,2036,1967,1988,2034,2046,2153,2225,2675,2457,2034,2260,2272
KHM.21.1_2,102,Siemréab,AngkorChum,735,756,777,1146,761,849,852,873,896,894,1010,1051,1091,1173,1275,1532,1574,1633,1715,1686,1569,1846,2100,2220,2332,2470,2750,2350,2430,2435,2358,2596,2814
KHM.21.2_2,103,Siemréab,AngkorThum,576,598,614,883,586,652,665,668,818,834,922,932,1003,1062,1102,1260,1347,1474,1549,1511,1514,1648,1754,2039,2205,2298,2548,2713,2990,2993,2810,3187,3313
KHM.21.3_2,104,Siemréab,BanteaySrei,858,869,887,1205,810,887,922,894,916,966,956,1011,1069,1114,1190,1320,1450,1636,1719,1663,1718,1808,1987,2105,2299,2300,2566,2651,2962,3049,3053,3340,3291
KHM.21.4_2,105,Siemréab,ChiKraeng,766,815,854,1300,876,905,969,896,950,1025,1097,1132,1022,1094,1180,1567,1335,1398,1464,1440,1463,1529,1742,1817,1977,2151,2340,2645,3068,3194,2857,2635,2553
KHM.21.5_2,106,Siemréab,Kralanh,618,635,651,986,643,687,708,688,721,726,812,883,920,983,1041,1240,1447,1494,1542,1517,1434,1756,1851,1911,2020,2115,2412,2412,2722,2828,2832,3339,3170
KHM.21.6_2,107,Siemréab,PrasatBakong,789,811,929,1393,885,952,983,986,1009,1068,1269,1339,1328,1418,1538,1639,1790,2006,2144,2384,2697,3857,3940,4081,4710,4516,4928,5166,5519,5984,5622,5616,5608
KHM.21.7_2,108,Siemréab,Puok,1156,1189,1224,1875,1207,1395,1355,1361,1395,1497,1753,1864,1773,1857,1723,1726,2006,2164,2276,2283,2348,2512,2828,2951,3633,3676,4046,4070,4631,4995,4785,4613,4884
KHM.21.8_2,109,Siemréab,SiemReap,1424,1912,1955,3049,1458,1500,1488,1966,2004,2187,2325,2471,2576,4724,5087,5694,6166,6653,7052,6772,7137,7257,7477,7796,8077,8528,9070,9451,9280,9718,10138,10310,11080
KHM.21.9_2,110,Siemréab,SoutrNikom,746,767,783,1130,772,837,828,830,881,905,942,1040,1055,1098,1185,1225,1409,1521,1598,1618,1623,1958,2110,2202,2542,2711,2897,3856,3976,4232,4181,5326,5842
KHM.22.1_2,111,StœngTrêng,Sesan,886,912,937,1466,924,948,971,979,997,1090,1167,1240,1284,1352,1459,1627,1771,1911,1981,1884,1979,1921,1991,2046,2152,2263,2395,2504,2712,2817,2645,2494,2612
KHM.22.2_2,112,StœngTrêng,SiemBouk,766,773,799,1250,788,801,803,806,821,898,986,1048,1083,1141,1231,1372,1533,1654,1672,1608,1685,1630,1689,1678,1789,1888,1935,2054,2164,2268,2204,2134,2211
KHM.22.3_2,113,StœngTrêng,SiemPang,905,945,793,1244,782,818,842,852,861,941,1007,1071,1115,1176,1269,1392,1525,1597,1678,1664,1722,1625,1707,1660,1724,1820,2510,2608,2854,3019,2834,2759,2884
KHM.22.4_2,114,StœngTrêng,StuengTraeng,861,886,922,1505,943,1064,1095,1110,1129,1279,1369,1468,1529,1632,1765,1953,2137,1973,2052,1989,2034,1847,2122,2251,2368,2625,2510,2844,3034,3134,2880,2703,3046
KHM.22.5_2,115,StœngTrêng,ThalaBarivat,670,689,763,1232,837,819,917,854,841,919,964,948,987,1039,1079,1225,1277,1377,1446,1448,1530,1379,1476,1516,1552,1639,1945,1999,2201,2264,2099,1977,2095
KHM.23.1_2,116,SvayRieng,Bavet,970,941,965,1529,998,996,1091,1077,1038,1096,1174,1176,1298,1519,1639,1882,2019,2148,2334,2315,2567,2404,2438,2537,2547,2427,2564,2705,2830,2919,2795,3473,3511
KHM.23.2_2,117,SvayRieng,Chantrea,819,841,864,1435,852,899,983,1000,975,1144,1247,1317,1232,1324,1385,1536,1406,1254,1253,1275,1288,1127,1187,1227,1164,1558,1734,2123,2339,2415,2433,2892,3038
KHM.23.3_2,118,SvayRieng,KampongRou,685,691,696,1169,705,802,836,870,893,1038,1120,1223,1226,1484,1466,1435,1503,1628,1563,1571,1570,1209,1272,1338,1138,1165,1410,1896,2056,2172,2202,2935,2932
KHM.23.4_2,119,SvayRieng,RomeasHaek,601,618,638,1018,654,713,733,754,783,921,1049,1108,1181,1141,1237,1399,1343,1531,1589,1574,1570,1209,1272,1156,1085,1296,1390,1865,2130,2319,2499,2909,2924
KHM.23.5_2,120,SvayRieng,Rumduol,569,632,678,1110,685,628,692,629,625,705,678,752,779,821,922,997,1362,1313,1367,1327,1334,1452,1679,1798,2043,2198,2170,2519,2882,2982,3183,3155,2673
KHM.23.6_2,121,SvayRieng,SvayChrum,746,863,986,1648,884,769,958,909,971,824,921,863,902,963,1000,1179,1251,1350,1401,1427,1452,1491,1513,1746,1774,1905,1919,2676,2849,3019,3567,4326,4106
KHM.23.7_2,122,SvayRieng,SvayRieng,905,905,927,1597,848,892,949,685,742,792,812,839,861,922,1000,1104,1221,1320,1383,1406,1456,1491,1513,1746,1814,1941,2016,2562,2773,3500,3183,4511,4229
KHM.23.8_2,123,SvayRieng,SvayTeab,642,661,674,1164,664,684,726,708,662,807,774,770,799,854,911,1015,1178,1344,1435,1484,1629,1681,1804,1961,2311,2484,2704,2665,2985,3094,2894,2932,3071
KHM.24.10_2,124,Takêv,Treang,893,847,869,1389,817,867,828,780,849,930,983,1137,1182,1247,1506,1291,1239,1287,1366,1365,1419,1511,1682,1739,1718,1684,2064,2109,2234,2459,2773,3671,4764
KHM.24.1_2,125,Takêv,AngkorBorei,557,590,588,968,597,671,668,628,706,803,858,882,905,941,1016,1051,1083,1227,1286,1640,1634,1620,1771,1651,1826,1889,2004,2000,2354,2478,1979,2057,2379
KHM.24.2_2,126,Takêv,Bati,611,643,664,1066,655,707,761,711,734,799,844,945,979,1028,1095,1168,1244,1399,1506,1509,1576,1774,1980,1887,2277,2325,2446,2464,2768,2828,2832,2675,3918
KHM.24.3_2,127,Takêv,BoreiCholsar,707,698,699,1160,701,706,705,724,838,813,995,986,1040,1103,1271,1565,1415,1314,1426,1389,1699,1974,2198,2288,2772,2426,2073,1914,1924,2298,2306,2113,2205
KHM.24.4_2,128,Takêv,DounKaev,875,913,944,1571,958,1108,1029,1009,1024,1164,1245,1220,1285,1365,1568,1431,1760,1899,2000,2080,2189,2111,2253,2597,3087,2925,3005,3099,3316,3773,3634,3236,3358
KHM.24.5_2,129,Takêv,KaohAndaet,462,481,493,864,507,604,541,619,636,688,699,742,810,853,952,1145,1170,1348,1387,1432,1458,1579,1585,1669,1781,2089,2133,2297,2585,2748,2682,2833,3179
KHM.24.6_2,130,Takêv,KiriVong,660,648,664,1061,614,593,626,621,625,703,692,722,751,824,890,1056,1103,1190,1179,1324,1456,1493,1634,1830,1932,1913,1901,2172,2613,2372,2405,2633,2904
KHM.24.7_2,131,Takêv,PreyKabbas,686,736,713,1150,637,735,791,776,865,1006,1107,1120,1169,1284,1385,1540,1649,1822,1915,2116,2452,2581,2658,2753,3052,3256,3334,3263,3102,3613,3179,2945,3008
KHM.24.8_2,132,Takêv,Samraong,533,508,516,774,494,542,637,626,549,532,584,720,749,789,906,846,1097,1141,1164,1045,1092,1429,1530,1974,2047,2073,2414,2552,3021,2889,2939,3095,3293
KHM.24.9_2,133,Takêv,TramKak,775,791,715,1245,702,878,817,871,907,1065,1156,1147,1193,1225,1303,1534,1437,1538,1580,1632,1753,2154,2223,2230,2361,2200,2278,2331,2457,2666,2579,2266,3358
KHM.25.1_2,134,TbongKhmum,Dambae,552,580,636,1052,627,723,733,792,781,944,989,1152,1153,1218,1301,1571,1690,1838,1914,1756,1796,1720,1963,1836,1863,2023,2292,2003,2582,2750,3061,3738,3276
KHM.25.2_2,135,TbongKhmum,KrouchChhmar,883,677,727,1116,687,701,716,790,712,840,960,853,852,935,1112,1221,1239,1321,1329,1422,1418,1435,1556,1500,1716,1973,1688,2169,2474,2783,2376,2408,2605
KHM.25.3_2,136,TbongKhmum,Memot,694,747,754,1136,698,699,667,718,744,881,996,1026,1067,1105,1248,1445,1599,1725,1818,1800,1812,1743,1961,2045,2452,2553,2739,2965,3108,3072,2952,2748,3213
KHM.25.4_2,137,TbongKhmum,OuReangOv,516,508,617,1020,635,706,683,707,742,815,947,1081,1128,1128,1188,1333,1329,1499,1615,1574,1626,1932,2123,2234,2411,2507,2718,3024,3137,2928,3164,3129,3594
KHM.25.5_2,138,TbongKhmum,PonheaKraek,580,597,608,811,583,735,707,744,760,776,833,894,938,969,1094,1128,1223,1438,1358,1410,1367,1819,2450,2556,2387,2366,2518,2882,3245,3867,3754,4517,3086
KHM.25.6_2,139,TbongKhmum,Suong,1519,1356,1496,2197,1360,1596,1299,1308,1309,1471,1550,1542,1605,1752,1866,2055,2459,2653,2772,2451,2556,2900,3159,3297,2300,2411,2031,2180,2468,2252,2333,2640,3588
KHM.25.7_2,140,TbongKhmum,TboungKhmum,1059,1240,1269,2038,1298,1314,1341,1393,1414,1537,1637,1686,1755,1036,1118,1180,1323,1428,1634,1606,1385,1552,1746,1842,2140,2286,2564,3725,4558,4728,4807,2616,2464
KHM.3.10_2,141,KâmpóngCham,StuengTrang,488,544,598,949,549,555,571,541,662,773,847,857,823,902,969,1038,980,1059,1058,1045,1017,978,1190,1261,1332,1425,1482,1996,2310,2558,2980,2888,2756
KHM.3.1_2,142,KâmpóngCham,Batheay,615,633,654,978,645,714,731,735,761,803,854,829,863,938,1298,1457,1593,1719,1811,1778,1752,2024,2244,2343,2452,2727,2849,2995,3658,2952,3049,3606,4247
KHM.3.2_2,143,KâmpóngCham,ChamkarLeu,938,965,988,1667,1050,1116,1061,1051,914,953,869,968,1075,971,1220,1365,1395,1465,1577,1596,1743,2178,2313,2551,2392,2317,2125,2318,2675,2787,2678,2454,2512
KHM.3.3_2,144,KâmpóngCham,CheungPrey,611,620,729,1094,710,820,788,828,863,925,969,1016,1054,1105,1196,1268,1396,1502,1607,1584,1614,1800,2098,2253,2311,2448,2638,2927,3248,3350,3065,3441,3466
KHM.3.4_2,145,KâmpóngCham,KampongCham,2896,2979,3054,4679,3012,3240,3335,3349,3411,3700,3961,4210,4385,4602,4965,5562,5994,6467,6795,6756,7375,7500,7730,8030,8321,8786,9346,9718,9773,10235,9610,5781,5841
KHM.3.5_2,146,KâmpóngCham,KampongSiem,1505,1534,1641,2530,1658,1745,1800,1812,1814,1986,2149,2264,2357,2379,2567,2759,2997,3234,3682,3658,2708,3008,3003,3677,3366,3464,3813,4108,4434,4179,4003,3634,3779
KHM.3.6_2,147,KâmpóngCham,KangMeas,750,728,762,1370,781,953,923,1000,996,1056,1042,1082,1130,1176,1265,1460,1485,1687,1806,1728,1829,1924,2067,2286,2347,2514,2635,2786,2724,2690,2648,2797,3168
KHM.3.7_2,148,KâmpóngCham,KaohSoutin,1246,1241,1300,1988,1306,1382,1414,1402,1427,1531,1553,1697,1771,1878,2027,2212,2424,2582,2713,2735,2299,1863,1936,1947,2154,2073,2017,2292,2884,3226,3046,2797,3207
KHM.3.8_2,149,KâmpóngCham,PreyChhor,576,570,561,950,631,699,722,722,788,832,850,1026,1068,1150,1235,1231,1605,1712,1768,2318,2427,2841,2904,3023,3515,3744,2177,2337,2531,2607,2420,2425,2017
KHM.3.9_2,150,KâmpóngCham,SreiSanthor,482,529,524,728,537,798,712,826,927,1102,1149,1152,1174,1181,1363,1432,1660,1663,1698,1592,1753,2145,2186,2300,2312,2165,2325,2293,2203,2562,2803,2507,3178
